Date,Description,Amount,Reference
2019-01-02,ATM deposit - JA333817,738.00,JA333817
2019-01-02,e-Transfer - Autodeposit,60.00,
2019-01-02,e-Transfer - Autodeposit,100.00,
2019-01-02,Misc Payment RBC.INS.RRA/PA,-19.90,
2019-01-02,Mortgage CIBC MTGE.CORP,-1295.58,
2019-01-02,e-Transfer sent justin,-15.00,
2019-01-02,e-Transfer sent tracey,-200.00,
2019-01-02,e-Transfer sent tracey,-400.00,
2019-01-02,ContactlessInteracpurchase-2976 MCDONALDS,-17.87,2976
2019-01-02,ContactlessInteracpurchase-3539 SUBWAY,-21.07,3539
2019-01-03,ATM deposit - JA739158,674.40,JA739158
2019-01-03,e-Transfer - Autodeposit,100.00,
2019-01-03,Loan TD LOAN PAYMNT,-494.39,
2019-01-04,BR TO BR - 9003,2000.00,9003
2019-01-04,ContactlessInteracpurchase-6646 NORTH ATLANTIC,-68.90,6646
2019-01-07,e-Transfer - Autodeposit,80.00,
2019-01-07,e-Transfer - Autodeposit,500.00,
2019-01-07,Interac purchase - CINEPLEX,-35.46,6896
2019-01-07,BR TO BR - 9353,1000.00,9353
2019-01-07,Funds transfer MINI MANIA INC.,-2338.96,
2019-01-07,e-Transfer sent tracey,-40.00,
2019-01-07,e-Transfer sent pat,-1250.00,
2019-01-07,ContactlessInteracpurchase-5236 PETERSPIZZA&,-38.78,5236
2019-01-07,ContactlessInteracpurchase-5987 CANADIANTIRE,-33.67,5987
2019-01-14,ATM deposit - JA489558,738.00,JA489558
2019-01-14,Online Banking payment - BELL ALIANT-NL,-1250.00,2896
2019-01-14,Loan FAIRSTONE,-388.95,
2019-01-16,Interacpurchase-1985 NAPAFOXTRAP,-82.13,1985
2019-01-21,Business PAD Merit Premium,-206.86,
2019-01-21,Monthly fee,-14.95,FEE
2019-01-21,Interac ABM fee credit,1.50,
